Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
NE;BA;Salvador;M;entre 61 a 70 anos;2014;9;23/09/2014;03/10/2014;14/10/2014;10;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Contrato / Oferta;Dificuldade para contratar / recusa injustificada;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;1
NE;MA;Icatu;M;entre 61 a 70 anos;2014;9;24/09/2014;25/09/2014;01/10/2014;1;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Atendimento / SAC;SAC - Dificuldadede de contato / acesso;Loja física;N;S;Finalizada avaliada;Não Resolvida;2
SE;SP;São Paulo;M;entre 31 a 40 anos;2014;9;25/09/2014;29/09/2014;08/10/2014;4;Walmart.com;Comércio Eletrônico;Demais Produtos;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;São Paulo;M;entre 41 a 50 anos;2014;9;16/09/2014;25/09/2014;06/10/2014;9;Losango;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Demais Empréstimos e Financiamentos (exceto imóveis e veículos);Cobrança / Contestação;Dificuldade na Renegociação / parcelamento de dívida;Loja física;S;S;Finalizada avaliada;Resolvida;4
SE;SP;Nova Odessa;M;entre 21 a 30 anos;2014;9;27/09/2014;07/10/2014;08/10/2014;10;Americanas.com;Comércio Eletrônico;Demais Produtos;Produtos para crianças (carrinho, brinquedos, cadeira, vestuário, mamadeira, etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;RJ;Queimados;F;entre 21 a 30 anos;2014;9;15/09/2014;24/09/2014;14/10/2014;9;Magazineluiza.com;Comércio Eletrônico;Demais Produtos;Produtos para crianças (carrinho, brinquedos, cadeira, vestuário, mamadeira, etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Resolvida;5
S ;PR;Maringá;M;entre 21 a 30 anos;2014;9;26/09/2014;06/10/2014;06/10/2014;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de telefonia e informática;Demais aparelhos de comunicação;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Resolvida;2
SE;SP;Nova Odessa;M;entre 21 a 30 anos;2014;9;27/09/2014;07/10/2014;17/10/2014;10;Pontofrio.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Televisão;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Resolvida;5
SE;SP;Santo André;M;entre 21 a 30 anos;2014;9;22/09/2014;02/10/2014;02/10/2014;10;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Loja física;N;S;Finalizada avaliada;Não Resolvida;2
SE;SP;Santo André;M;entre 21 a 30 anos;2014;9;29/09/2014;07/10/2014;07/10/2014;8;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos de telefonia e informática;Aparelho celular;Atendimento / SAC;Má qualidade no atendimento (descortesia / despreparo/ constrangimento);Loja física;N;S;Finalizada avaliada;Não Resolvida;4
CO;GO;Aparecida de Goiânia;F;até 20 anos;2014;9;19/09/2014;29/09/2014;06/10/2014;10;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Cobrança / Contestação;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Telefone;S;S;Finalizada avaliada;Resolvida;5
NE;PE;Recife;M;entre 51 a 60 anos;2014;9;09/09/2014;10/09/2014;01/10/2014;1;Oi Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Atendimento / SAC;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento);Telefone;S;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Recife;M;entre 51 a 60 anos;2014;9;08/09/2014;13/09/2014;04/10/2014;5;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Atendimento / SAC;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento);Telefone;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;F;entre 21 a 30 anos;2014;9;30/09/2014;30/09/2014;21/10/2014;0;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança submetendo a ofensa, constrangimento ou ameaça;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
